question_id,question,expected_answer,expected_action,source_uri
QA-010,第 10 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/010
QA-011,第 11 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/011
QA-012,第 12 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/012
QA-013,第 13 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/013
QA-014,第 14 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/014
QA-015,第 15 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/015
QA-016,第 16 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/016
QA-017,第 17 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/017
QA-018,第 18 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/018
QA-019,第 19 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/019
QA-020,第 20 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/020
QA-021,第 21 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/021
QA-022,第 22 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/022
QA-023,第 23 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/023
QA-024,第 24 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/024
QA-025,第 25 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/025
QA-026,第 26 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/026
QA-027,第 27 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/027
QA-028,第 28 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/028
QA-029,第 29 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/029
QA-030,第 30 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/030
QA-031,第 31 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/031
QA-032,第 32 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/032
QA-033,第 33 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/033
QA-034,第 34 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/034
QA-035,第 35 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/035
QA-036,第 36 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/036
QA-037,第 37 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/037
QA-038,第 38 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/038
QA-039,第 39 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/039
QA-040,第 40 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/040
QA-041,第 41 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/041
QA-042,第 42 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/042
QA-043,第 43 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/043
QA-044,第 44 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/044
QA-045,第 45 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/045
QA-046,第 46 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/046
QA-047,第 47 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/047
QA-048,第 48 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/048
QA-049,第 49 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/049
QA-050,第 50 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/050
QA-051,第 51 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/051
QA-052,第 52 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/052
QA-053,第 53 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/053
QA-054,第 54 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/054
QA-055,第 55 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/055
QA-056,第 56 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/056
QA-057,第 57 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/057
QA-058,第 58 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/058
QA-059,第 59 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/059
QA-060,第 60 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/060
