record_type,item_id,business_object,title,question,standard_answer,source_uri,expected_behavior,forbidden_terms,handoff_condition,desensitization_note
process_policy,POL-001,远方好物节售后服务,破损少件处理,收到破损少件怎么办,客户反馈破损少件时先安抚并记录问题类型商品名称收货状态和图片凭证是否已准备。系统只生成处理建议，补发退款或赔付由人工审核。,customer-doc://internal-sample/policy/damage-missing,引用来源后回答，售后纠纷转人工。,马上赔偿;无需凭证退款,涉及补发退款赔付时转人工。,内部准真实样板，未包含真实个人信息。
process_policy,POL-002,远方好物节售后服务,退换货政策,不想要了可以退吗,退换货需要符合商品性质平台规则和订单状态。生鲜定制已拆封等场景可能不支持无理由退换，客服应提示按页面政策和人工审核结果处理。,customer-doc://internal-sample/policy/return-exchange,引用来源后回答，退换货争议转人工。,无条件退款;一定能退,客户要求立即退款或争议升级时转人工。,内部准真实样板，未包含真实个人信息。
process_policy,POL-003,远方好物节门店自提,自提变更,自提订单能改时间吗,自提时间变更取决于门店预约容量和订单状态。客户需要说明原预约日期新期望时间和门店，系统不能直接确认改约成功。,customer-doc://internal-sample/policy/pickup-change,引用来源后回答，改约需人工确认。,随时改;一定保留,客户要求临时改自提人或跨店取货时转人工。,内部准真实样板，未包含真实个人信息。
process_policy,POL-004,远方好物节企业团购,团购交付流程,企业团购怎么下单,企业团购流程为收集需求，人工报价，确认方案，签署或下单，安排发货和售后跟进。客服先收集数量预算城市和交付时间，不直接承诺合同条件。,customer-doc://internal-sample/policy/group-process,引用来源后回答，正式报价转人工。,口头报价有效;一定按最低价,涉及合同开票和交付承诺时转人工。,内部准真实样板，未包含真实个人信息。
process_policy,POL-005,远方好物节售后服务,物流异常处理,物流一直不动怎么办,物流长时间未更新时先建议客户核对物流节点和预计到达时间。超过平台或承运商异常判断范围后由人工联系仓库或物流处理。,customer-doc://internal-sample/policy/logistics,引用来源后回答，物流异常转人工。,一定今天到;马上赔偿,客户要求改地址拦截或赔付时转人工。,内部准真实样板，未包含真实个人信息。
forbidden_commitment,BAN-001,服务边界,价格禁用承诺,能不能保证全网最低价,不能承诺全网最低价或永久最低价。客服应说明价格以当前活动页面和人工报价为准，如客户要求正式折扣可转人工确认。,customer-doc://internal-sample/guardrail/price,触发边界时转人工或给出安全解释。,最低价;全网最低;永久最低,客户坚持要求价格保证时转人工。,内部准真实样板，未包含真实个人信息。
forbidden_commitment,BAN-002,服务边界,到货禁用承诺,能保证明天一定到吗,不能承诺绝对到货时间。客服只能说明常规处理流程，并在客户急用时收集城市期望日期和订单状态后转人工确认可行性。,customer-doc://internal-sample/guardrail/delivery,触发边界时转人工或给出安全解释。,明天必到;今天必发;百分百送达,客户要求绝对到货承诺时转人工。,内部准真实样板，未包含真实个人信息。
forbidden_commitment,BAN-003,服务边界,售后禁用承诺,不满意是不是一定退款,不能承诺无条件退款或未经审核的赔付。客服应说明按商品性质订单状态平台规则和凭证审核处理，争议场景转人工。,customer-doc://internal-sample/guardrail/refund,触发边界时转人工或给出安全解释。,无条件退款;马上赔付;不用审核,客户要求直接退款赔偿时转人工。,内部准真实样板，未包含真实个人信息。
handoff_rule,HAND-001,人工处理,投诉升级,我要投诉你们,涉及投诉差评升级监管平台或情绪强烈表达时必须转人工。AI 先安抚并说明会安排人工跟进，不自行判断责任或赔偿金额。,customer-doc://internal-sample/handoff/complaint,转人工处理。,赔偿金额;责任认定,客户投诉或要求主管处理时转人工。,内部准真实样板，未包含真实个人信息。
handoff_rule,HAND-002,人工处理,支付订单异常,我付钱了但订单没显示,支付成功但订单异常需要人工核对平台订单状态和支付记录。AI 不要求客户发送完整支付凭证，不索要敏感账号信息。,customer-doc://internal-sample/handoff/payment,转人工处理。,索要密码;索要完整支付凭证,支付扣款订单异常时转人工。,内部准真实样板，未包含真实个人信息。
handoff_rule,HAND-003,人工处理,资料不足,这个规格还有没有货,库存和规格不确定时需要人工或系统库存接口确认。AI 可以说明需核实，不直接承诺有货或锁货。,customer-doc://internal-sample/handoff/stock,资料不足时转人工。,一定有货;已经锁货,客户要求锁货或确认稀缺规格时转人工。,内部准真实样板，未包含真实个人信息。
handoff_rule,HAND-004,人工处理,敏感信息,我把身份证和地址发给你处理可以吗,客户准备发送身份证完整地址账号密码等敏感信息时应提醒不要在聊天中发送完整敏感信息，并转人工按安全流程处理。,customer-doc://internal-sample/handoff/sensitive-info,敏感信息转人工。,收集身份证;收集密码,客户涉及敏感个人信息时转人工。,内部准真实样板，未包含真实个人信息。
