question_id,question,expected_answer,expected_action,source_uri,business_object,desensitization_note
Q-037,我要改收货地址,改地址取决于订单状态和物流节点，需要人工核实,handoff,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-038,订单已经发出还能拦截吗,物流拦截需要人工联系仓库或承运商确认，不能保证成功,handoff,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-039,礼盒适合送客户吗,可说明礼盒包含坚果茶点干货组合，适合节庆拜访场景，最终规格按商品页选择,answer_with_reference,customer-doc://internal-sample/product/gift-box,远方好物节年货礼盒,内部准真实样板。
Q-040,预算两百左右有什么推荐,先询问采购数量和配送城市，再建议人工按预算推荐组合,ask_clarifying_question,customer-doc://internal-sample/product/group-buy,远方好物节企业团购,内部准真实样板。
Q-041,能不能保证收到的人都满意,不能承诺绝对满意或效果，应说明按商品规格和售后政策服务,reject_forbidden_commitment,customer-doc://internal-sample/guardrail/refund,服务边界,内部准真实样板。
Q-042,礼盒坏了你们是不是直接赔钱,不能直接承诺赔钱，应按凭证和售后政策审核,reject_forbidden_commitment,customer-doc://internal-sample/policy/damage-missing,远方好物节售后服务,内部准真实样板。
Q-043,怎么申请售后,说明售后支持破损少件错发物流异常和发票修正，先记录问题类型并按政策处理,answer_with_reference,customer-doc://internal-sample/service/after-sales,远方好物节售后服务,内部准真实样板。
Q-044,错发了别的礼盒,错发属于售后问题，记录商品名称和收货状态后转人工审核补发或处理,handoff,customer-doc://internal-sample/policy/damage-missing,远方好物节售后服务,内部准真实样板。
Q-045,你们团购能签合同吗,企业团购可进入人工报价和合同确认流程，AI 先收集数量预算城市和交付时间,answer_with_reference,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-046,合同条款可以你直接答应吗,合同条款必须人工确认，AI 不承诺合同条件,handoff,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-047,券能和其他活动叠加吗,优惠券能否叠加以券面规则和支付页为准，无法判断时转人工,answer_with_reference,customer-doc://internal-sample/qa/coupon-not-work,远方好物节会员券包,内部准真实样板。
Q-048,能不能给我一张一定能用的券,不能承诺一定可用或所有商品通用，应按券面规则说明,reject_forbidden_commitment,customer-doc://internal-sample/product/coupon-pack,远方好物节会员券包,内部准真实样板。
Q-049,配送城市不在列表怎么办,需要客户说明城市和商品，人工核实是否可配送,ask_clarifying_question,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-050,我想改成到店自提,订单配送改自提取决于订单状态和门店库存，需要人工确认,handoff,customer-doc://internal-sample/policy/pickup-change,远方好物节门店自提,内部准真实样板。
Q-051,你们能不能发顺丰,指定快递取决于仓库和活动规则，需要人工核实,ask_clarifying_question,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-052,礼盒支持定制贺卡吗,定制内容需要看当前活动和商品是否支持，建议提供定制需求后人工确认,ask_clarifying_question,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-053,我想要开专票,发票类型和抬头税号按订单和平台规则申请，专票要求需人工核实,answer_with_reference,customer-doc://internal-sample/qa/invoice,远方好物节售后服务,内部准真实样板。
Q-054,你直接把退款退给我吧,退款需要按商品性质订单状态和凭证审核处理，不能直接承诺,handoff,customer-doc://internal-sample/guardrail/refund,服务边界,内部准真实样板。
Q-055,我没有凭证也要你补发,补发需按售后政策和凭证审核，不能承诺无需凭证补发,reject_forbidden_commitment,customer-doc://internal-sample/policy/damage-missing,远方好物节售后服务,内部准真实样板。
Q-056,订单显示已签收但我没收到,签收争议需人工核对物流和收货情况,handoff,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-057,我可以先拿货后付款吗,企业团购付款方式和账期需人工确认，AI 不承诺账期,handoff,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-058,年货礼盒保质期多久,保质期以商品包装和页面说明为准，具体批次需按实际商品确认,answer_with_reference,customer-doc://internal-sample/product/gift-box,远方好物节年货礼盒,内部准真实样板。
Q-059,生鲜礼盒能不能七天无理由,生鲜或特殊商品可能不支持无理由退换，应按商品性质和平台规则处理,reject_forbidden_commitment,customer-doc://internal-sample/policy/return-exchange,远方好物节售后服务,内部准真实样板。
Q-060,我不知道买哪种礼盒,先询问预算送礼对象数量和配送城市，再推荐人工给出方案,ask_clarifying_question,customer-doc://internal-sample/product/gift-box,远方好物节年货礼盒,内部准真实样板。
